date,cash,realized_pnl,open_pnl,total_pnl,portfolio_value,concurrent_positions,peak_value,drawdown,drawdown_pct
2019-02-22,1000000,1610430.087,150240.0745003209,1760670.161500321,2760670.161500321,366,2819286.373304303,-58616.211803982034,-2.079115210111904
2019-03-01,1000000,1601953.4849999999,186158.32415058307,1788111.8091505829,2788111.809150583,352,2819286.373304303,-31174.564153719693,-1.1057608212102983
2019-03-08,1000000,1596456.854,223495.78269992597,1819952.636699926,2819952.636699926,341,2819952.636699926,0.0,0.0
2019-03-15,1000000,1639536.716,209154.81151298355,1848691.5275129837,2848691.5275129834,262,2848691.5275129834,0.0,0.0
2019-03-22,1000000,1653755.4440000001,223610.10053248002,1877365.5445324802,2877365.54453248,243,2877365.54453248,0.0,0.0
2019-03-29,1000000,1684841.331,219867.0609014923,1904708.3919014924,2904708.391901492,188,2904708.391901492,0.0,0.0
2019-04-05,1000000,1695305.761,233477.02640390466,1928782.7874039046,2928782.787403905,197,2928782.787403905,0.0,0.0
2019-04-12,1000000,1735208.317,210691.4140015492,1945899.7310015492,2945899.7310015494,222,2945899.7310015494,0.0,0.0
2019-04-19,1000000,1757636.9530000002,200697.25734146236,1958334.2103414626,2958334.210341463,218,2958334.210341463,0.0,0.0
2019-04-26,1000000,1773652.033,196839.4722208149,1970491.505220815,2970491.505220815,226,2970491.505220815,0.0,0.0
2019-05-03,1000000,1775516.429,206329.55480271234,1981845.9838027123,2981845.9838027125,230,2981845.9838027125,0.0,0.0
2019-05-10,1000000,1797479.147,194021.99845210707,1991501.1454521073,2991501.1454521073,223,2991501.1454521073,0.0,0.0
2019-05-17,1000000,1813037.74,188639.54291220763,2001677.2829122075,3001677.282912208,192,3001677.282912208,0.0,0.0
2019-05-24,1000000,1818678.525,194118.02907616494,2012796.554076165,3012796.554076165,163,3012796.554076165,0.0,0.0
2019-05-31,1000000,1819544.925,208733.3429742407,2028278.2679742407,3028278.2679742407,165,3028278.2679742407,0.0,0.0
2019-06-07,1000000,1836259.361,207803.17699561868,2044062.5379956188,3044062.537995619,145,3044062.537995619,0.0,0.0
2019-06-14,1000000,1851767.9450000003,210120.77103535525,2061888.7160353556,3061888.716035356,163,3061888.716035356,0.0,0.0
2019-06-21,1000000,1874390.915,207575.1705011202,2081966.0855011202,3081966.0855011204,206,3081966.0855011204,0.0,0.0
2019-06-28,1000000,1883180.1410000003,212974.33893309138,2096154.4799330917,3096154.4799330914,219,3096154.4799330914,0.0,0.0
2019-07-05,1000000,1897023.085,202335.35434112456,2099358.4393411246,3099358.4393411246,252,3099358.4393411246,0.0,0.0
2019-07-12,1000000,1888768.4139999999,208459.37410504403,2097227.788105044,3097227.788105044,261,3099358.4393411246,-2130.6512360805646,-0.06874491214167239
2019-07-19,1000000,1922288.6600000001,173319.87418542214,2095608.5341854224,3095608.5341854226,250,3099358.4393411246,-3749.9051557020284,-0.12098972187609253
2019-07-26,1000000,1918759.23,181027.00146420277,2099786.2314642025,3099786.2314642025,250,3099786.2314642025,0.0,0.0
2019-08-02,1000000,1909610.496,194641.84862471343,2104252.3446247135,3104252.3446247135,250,3104252.3446247135,0.0,0.0
2019-08-09,1000000,1935842.0520000001,172011.38641458045,2107853.4384145807,3107853.4384145807,150,3107853.4384145807,0.0,0.0
2019-08-16,1000000,1910862.899,204542.35915797722,2115405.2581579774,3115405.2581579774,139,3115405.2581579774,0.0,0.0
2019-08-23,1000000,1908869.525,216025.53524672735,2124895.0602467274,3124895.0602467274,143,3124895.0602467274,0.0,0.0
2019-08-30,1000000,1958218.343,175084.93325918284,2133303.276259183,3133303.276259183,134,3133303.276259183,0.0,0.0
2019-09-06,1000000,2032476.9549999998,108240.42041516326,2140717.375415163,3140717.375415163,135,3140717.375415163,0.0,0.0
2019-09-13,1000000,2084928.513,61135.272719088855,2146063.7857190887,3146063.7857190887,223,3146063.7857190887,0.0,0.0
2019-09-20,1000000,2090237.632,37955.730320254734,2128193.3623202546,3128193.3623202546,263,3146063.7857190887,-17870.423398834188,-0.5680248277213358
2019-09-27,1000000,2087383.8199999998,14528.648797628184,2101912.468797628,3101912.468797628,250,3146063.7857190887,-44151.31692146091,-1.4033827642617025
2019-10-04,1000000,2052192.253,38658.514741250474,2090850.7677412506,3090850.767741251,168,3146063.7857190887,-55213.01797783794,-1.7549872392437211
2019-10-11,1000000,2029960.3350000002,64208.3095000621,2094168.6445000623,3094168.6445000623,146,3146063.7857190887,-51895.14121902641,-1.6495260348691518
2019-10-18,1000000,2032035.7650000001,72507.6654653106,2104543.430465311,3104543.430465311,153,3146063.7857190887,-41520.35525377793,-1.3197556719050347
