symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct
PTEN,2022-02-01,2022-10-01,10.12,10.9,988,770.6400000000011,7.707509881422947
STLD,2022-04-01,2022-10-01,87.83,69.42,113,-2080.3299999999995,-20.96094728452692
SLP,2022-04-01,2022-10-01,51.13,46.74,195,-856.0500000000001,-8.585957363583018
PRDO,2022-05-01,2022-10-01,11.55,10.21,865,-1159.1,-11.601731601731602
BBSI,2022-06-01,2022-10-01,18.49,19.31,540,442.8000000000002,4.434829637641968
PPC,2022-06-01,2022-10-01,25.08,14.43,398,-4238.7,-42.464114832535884
CRNT,2022-07-01,2022-10-01,2.62,1.83,3816,-3014.6400000000003,-30.15267175572519
FIZZ,2022-07-01,2022-10-01,46.24,35.8,216,-2255.040000000001,-22.577854671280285
STAA,2022-08-01,2022-10-01,80.62,67.92,124,-1574.8000000000004,-15.752914909451754
RAIL,2022-08-01,2022-10-01,4.19,3.68,2386,-1216.8600000000006,-12.171837708830557
RUN,2022-08-01,2022-10-01,28.45,27.52,351,-326.4299999999999,-3.2688927943760993
GPRE,2022-08-01,2022-10-01,34.99,27.62,285,-2100.4500000000003,-21.063160903115175
ON,2022-08-01,2022-10-01,65.27,62.77,153,-382.4999999999989,-3.8302436034931664
MPWR,2022-08-01,2022-10-01,466.66,358.18,21,-2278.0800000000004,-23.246046372091033
MVIS,2022-08-01,2022-10-01,4.89,3.56,2044,-2718.519999999999,-27.198364008179954
ICLN,2022-08-01,2022-10-01,21.53,18.88,464,-1229.600000000001,-12.30840687412913
CDZI,2022-08-01,2022-10-01,3.98,1.86,2512,-5325.4400000000005,-53.266331658291456
CTAS,2022-09-01,2022-10-01,102.18,96.4,97,-560.6600000000001,-5.65668428263848
FLEX,2022-09-01,2022-10-01,13.37,12.44,747,-694.7099999999998,-6.95587135377711
PGEN,2022-09-01,2022-10-01,2.26,1.98,4424,-1238.7199999999991,-12.389380530973447
KALV,2022-09-01,2022-10-01,16.83,13.84,594,-1776.059999999999,-17.76589423648246
ARDX,2022-09-01,2022-10-01,0.98,1.1,10204,1224.4800000000012,12.244897959183687
ALTS,2022-09-01,2022-10-01,2.84,2.11,3521,-2570.33,-25.704225352112676
PLUG,2022-09-01,2022-10-01,27.66,20.07,361,-2739.99,-27.440347071583517
TRI,2022-09-01,2022-10-01,113.53,105.6,88,-697.8400000000006,-6.984937901876165
SVRA,2022-05-01,2022-11-01,1.18,1.21,8474,254.22000000000023,2.5423728813559254
LYTS,2022-09-01,2022-11-01,8.34,7.35,1199,-1187.0100000000002,-11.870503597122307
LNTH,2022-03-01,2022-12-01,44.23,61.14,226,3821.6600000000008,38.231969251639164
MMYT,2022-08-01,2022-12-01,31.14,29.0,321,-686.9400000000002,-6.872190109184329
OPCH,2022-08-01,2022-12-01,34.11,29.41,293,-1377.0999999999997,-13.778950454412197
CYTK,2022-08-01,2022-12-01,40.56,41.14,246,142.67999999999958,1.429980276134124
