date,value,cash,positions,invested,peak,dd,year
2021-04-01,2848696.2,1392418.9000000004,65,1456277.3,2986146.2699999996,-4.602924892892115,2021
2021-05-01,3150885.8800000013,1525486.9600000007,65,1625398.9200000006,3150885.8800000013,0.0,2021
2021-06-01,2913014.210000001,1567997.0200000005,64,1345017.1900000002,3150885.8800000013,-7.54935846803821,2021
2021-07-01,3178933.58,1692092.6900000006,65,1486840.8899999994,3178933.58,0.0,2021
2021-08-01,2957783.960000001,1699329.920000001,70,1258454.0399999998,3178933.58,-6.9567235185832095,2021
2021-09-01,3170753.5400000014,1867560.720000001,65,1303192.8200000005,3178933.58,-0.2573202551781104,2021
2021-10-01,3258759.500000001,1853911.4600000014,67,1404848.0399999993,3258759.500000001,0.0,2021
2021-11-01,4143984.0300000007,1791970.0400000014,73,2352013.9899999993,4143984.0300000007,0.0,2021
2021-12-01,3653832.3400000017,1834209.0900000008,69,1819623.250000001,4143984.0300000007,-11.828030379740602,2021
2022-01-01,3900387.6100000003,1867336.0700000003,69,2033051.5399999998,4143984.0300000007,-5.878314642057159,2022
2022-02-01,2997580.1600000006,1874246.3000000007,65,1123333.8599999999,4143984.0300000007,-27.664292663791944,2022
2022-03-01,3095889.2300000004,1850411.59,65,1245477.6400000006,4143984.0300000007,-25.291960403621538,2022
2022-04-01,3462009.4299999992,1794987.91,70,1667021.5199999993,4143984.0300000007,-16.456979444488866,2022
2022-05-01,2721615.249999999,2117549.439999999,40,604065.8100000002,4143984.0300000007,-34.323703221414235,2022
2022-06-01,2655746.5399999996,2200752.7099999995,40,454993.8300000001,4143984.0300000007,-35.913205244664056,2022
2022-07-01,2617508.1999999993,2273817.769999999,31,343690.43000000005,4143984.0300000007,-36.83594866556474,2022
2022-08-01,2644732.2499999995,1993272.8599999994,59,651459.3900000002,4143984.0300000007,-36.178995120306986,2022
2022-09-01,2658890.0300000003,2015209.5699999998,55,643680.4600000002,4143984.0300000007,-35.83734853341122,2022
2022-10-01,2577435.839999999,2198301.1399999987,33,379134.7,4143984.0300000007,-37.80294949640531,2022
2022-11-01,2625712.299999999,1967846.9599999988,56,657865.3400000001,4143984.0300000007,-36.63797251651092,2022
2022-12-01,2641128.1199999987,1861049.2899999989,66,780078.83,4143984.0300000007,-36.26596770451361,2022
2023-01-01,2619829.4299999992,1809540.4899999988,70,810288.9400000004,4143984.0300000007,-36.7799342122465,2023
2023-02-01,2676915.479999998,1830097.8699999985,70,846817.6099999998,4143984.0300000007,-35.402369781816034,2023
2023-03-01,2679365.6499999985,1810253.0099999984,72,869112.6400000004,4143984.0300000007,-35.34324383002031,2023
2023-04-01,2693420.929999998,1870476.9699999979,65,822943.9600000001,4143984.0300000007,-35.00407070825518,2023
2023-05-01,2693222.759999998,1788450.7199999979,73,904772.04,4143984.0300000007,-35.008852821278914,2023
2023-06-01,2783819.5399999972,1865728.5499999977,67,918090.9899999995,4143984.0300000007,-32.82262866249519,2023
2023-07-01,2775658.589999998,1897546.399999998,67,878112.1899999998,4143984.0300000007,-33.01956354305744,2023
2023-08-01,2847155.9799999977,1919887.3499999978,65,927268.6300000001,4143984.0300000007,-31.294233776282258,2023
2023-09-01,2802511.6999999974,1905557.809999997,66,896953.8900000002,4143984.0300000007,-32.37156128712212,2023
2023-10-01,2776535.719999997,1921062.659999997,66,855473.0600000002,4143984.0300000007,-32.998397197008586,2023
2023-11-01,2712901.3399999966,1880402.6799999964,68,832498.6600000001,4143984.0300000007,-34.533981782743595,2023
2023-12-01,2843842.3699999964,1866182.289999996,70,977660.0800000001,4143984.0300000007,-31.374195715710908,2023
2024-01-01,2989586.919999996,1906522.1799999964,69,1083064.7399999998,4143984.0300000007,-27.857180472773308,2024
2024-02-01,3052999.189999996,1899504.459999996,72,1153494.7300000002,4143984.0300000007,-26.32695570499108,2024
2024-03-01,3245344.3299999954,1961945.0099999956,68,1283399.32,4143984.0300000007,-21.685404516387703,2024
2024-04-01,3298788.549999996,2025662.1899999958,68,1273126.36,4143984.0300000007,-20.39572242270452,2024
2024-05-01,3210730.889999996,2024795.129999996,71,1185935.76,4143984.0300000007,-22.520674144586522,2024
