date,value,cash,positions,peak,dd,month,year
2022-01-18,2337303.690000003,2226987.550000003,10,2371704.380000002,-1.4504628102090438,2022-01,2022
2022-01-19,2335687.430000003,2236410.990000003,9,2371704.380000002,-1.518610426481534,2022-01,2022
2022-01-20,2333664.910000003,2267110.860000003,6,2371704.380000002,-1.6038874962991483,2022-01,2022
2022-01-21,2332110.3700000034,2277802.380000003,5,2371704.380000002,-1.669432764634807,2022-01,2022
2022-01-24,2331521.160000003,2277802.380000003,5,2371704.380000002,-1.6942760800567918,2022-01,2022
2022-01-25,2330492.0800000033,2289162.5800000033,4,2371704.380000002,-1.737665973362112,2022-01,2022
2022-01-26,2329801.9100000034,2299610.0200000033,3,2371704.380000002,-1.7667661430889954,2022-01,2022
2022-01-27,2329186.5500000035,2308545.1600000034,2,2371704.380000002,-1.792712041118659,2022-01,2022
2022-01-28,2328856.0600000033,2308545.1600000034,2,2371704.380000002,-1.80664674574657,2022-01,2022
2022-01-31,2328805.7600000035,2317411.1600000034,1,2371704.380000002,-1.808767583420269,2022-01,2022
2022-02-01,2328980.7600000035,2328980.7600000035,0,2371704.380000002,-1.8013889235216858,2022-02,2022
2022-02-02,2328980.7600000035,2328980.7600000035,0,2371704.380000002,-1.8013889235216858,2022-02,2022
2022-02-03,2328980.7600000035,2328980.7600000035,0,2371704.380000002,-1.8013889235216858,2022-02,2022
2022-02-04,2328980.7600000035,2328980.7600000035,0,2371704.380000002,-1.8013889235216858,2022-02,2022
2022-02-07,2328980.7600000035,2319000.7500000037,1,2371704.380000002,-1.8013889235216858,2022-02,2022
2022-02-08,2329270.470000004,2319000.7500000037,1,2371704.380000002,-1.7891736574689905,2022-02,2022
2022-02-09,2329600.140000004,2319000.7500000037,1,2371704.380000002,-1.7752735271331885,2022-02,2022
2022-02-10,2329806.600000004,2319000.7500000037,1,2371704.380000002,-1.7665683950036961,2022-02,2022
2022-02-11,2329956.450000004,2319000.7500000037,1,2371704.380000002,-1.7602501539419624,2022-02,2022
2022-02-14,2330086.3200000036,2319000.7500000037,1,2371704.380000002,-1.7547743450218118,2022-02,2022
2022-02-15,2330242.830000004,2319000.7500000037,1,2371704.380000002,-1.7481752932462173,2022-02,2022
2022-02-16,2330376.0300000035,2319000.7500000037,1,2371704.380000002,-1.7425590789691359,2022-02,2022
2022-02-17,2330462.6100000036,2319000.7500000037,1,2371704.380000002,-1.7389085396890225,2022-02,2022
2022-02-18,2330555.850000004,2319000.7500000037,1,2371704.380000002,-1.7349771896950479,2022-02,2022
2022-02-22,2330599.140000004,2319000.7500000037,1,2371704.380000002,-1.733151920054991,2022-02,2022
2022-02-23,2330595.810000004,2299028.7300000037,3,2371704.380000002,-1.7332923254119215,2022-02,2022
2022-02-24,2330914.2900000038,2289059.2500000037,4,2371704.380000002,-1.719864007671918,2022-02,2022
2022-02-25,2332349.610000004,2269109.590000004,6,2371704.380000002,-1.659345504096852,2022-02,2022
2022-02-28,2333974.940000004,2269109.590000004,6,2371704.380000002,-1.5908154624227682,2022-02,2022
2022-03-01,2336008.590000004,2269109.590000004,6,2371704.380000002,-1.5050691098356086,2022-03,2022
2022-03-02,2338130.750000004,2269109.590000004,6,2371704.380000002,-1.4155908418905898,2022-03,2022
2022-03-03,2339585.430000004,2249121.670000004,8,2371704.380000002,-1.3542560477119114,2022-03,2022
2022-03-04,2342187.770000004,2249121.670000004,8,2371704.380000002,-1.2445315802805903,2022-03,2022
2022-03-07,2343635.6000000043,2239122.940000004,9,2371704.380000002,-1.1834856079322122,2022-03,2022
